question,document
How do you use minsearch for vector search instead of writing the scoring code yourself?,02-vector-search/lessons/05-minsearch-vector.md
"What do you need to pass when building a vector index with minsearch, and how do you set it up so you can narrow results by course later?",02-vector-search/lessons/05-minsearch-vector.md
"How does searching work in minsearch’s vector search class, and what happens behind the scenes when it ranks results?",02-vector-search/lessons/05-minsearch-vector.md
"How would you search for a question like joining the course late, and what kind of result should you expect at the top?",02-vector-search/lessons/05-minsearch-vector.md
"Why would you want to filter vector search results by course, and how do you do that in minsearch?",02-vector-search/lessons/05-minsearch-vector.md
How do you change a RAG pipeline from keyword search to vector search without rewriting the whole thing?,02-vector-search/lessons/06-rag-vector.md
Why does the vector-search version of RAG need to turn the question into an embedding before searching?,02-vector-search/lessons/06-rag-vector.md
What part of the base RAG helper do you override when you want to use a vector index instead of text search?,02-vector-search/lessons/06-rag-vector.md
"What extra argument does the vector-search RAG class need in its constructor, and what is it used for?",02-vector-search/lessons/06-rag-vector.md
Why is vector search better than keyword search for questions that are phrased in different ways?,02-vector-search/lessons/06-rag-vector.md
"What are the main drawbacks of the earlier in-memory vector search approach, and how does sqlitesearch address them?",02-vector-search/lessons/07-sqlitesearch-vector.md
How is approximate nearest neighbor search different from exact nearest neighbor search in this lesson?,02-vector-search/lessons/07-sqlitesearch-vector.md
"What ANN options does sqlitesearch provide, and when would each one be useful?",02-vector-search/lessons/07-sqlitesearch-vector.md
How do you save a vector index to SQLite and later open it again without rebuilding all the embeddings?,02-vector-search/lessons/07-sqlitesearch-vector.md
How do you plug sqlitesearch-based vector search into a RAG setup and filter results by course?,02-vector-search/lessons/07-sqlitesearch-vector.md
How do you set up Postgres so it can store and search embeddings with pgvector?,02-vector-search/lessons/08-pgvector.md
What table structure do you use for FAQ documents and their embedding vectors?,02-vector-search/lessons/08-pgvector.md
How do you insert a Python embedding into a pgvector column in Postgres?,02-vector-search/lessons/08-pgvector.md
"How does the search query find the closest matches, and how can it be limited to one course?",02-vector-search/lessons/08-pgvector.md
When would you choose PGVector over the earlier search tools like minsearch or sqlitesearch?,02-vector-search/lessons/08-pgvector.md
Why would I use ONNX Runtime for embeddings instead of sentence-transformers in production?,02-vector-search/lessons/09-onnx-embedder.md
How much smaller was the ONNX setup compared with the PyTorch-based one in the example?,02-vector-search/lessons/09-onnx-embedder.md
What packages do I actually need at runtime if I use this ONNX embedder?,02-vector-search/lessons/09-onnx-embedder.md
How does the Embedder class turn text into vectors without PyTorch?,02-vector-search/lessons/09-onnx-embedder.md
"Which embedding models can I swap in here, and do I have to change much code to use another one?",02-vector-search/lessons/09-onnx-embedder.md
When should I stick with plain text search instead of adding embeddings and vector lookup?,02-vector-search/lessons/10-next-steps.md
What’s a good order for building a RAG system if I want to start simple and improve it later?,02-vector-search/lessons/10-next-steps.md
How does hybrid search work when you have both keyword search and vector search?,02-vector-search/lessons/10-next-steps.md
What does reranking do after the first documents are retrieved?,02-vector-search/lessons/10-next-steps.md
What are some practical things I should try next with embeddings and vector search on my own data?,02-vector-search/lessons/10-next-steps.md
How can AI help speed up building workflows in Kestra instead of writing everything by hand?,03-orchestration/lessons/01-intro.md
"What is context engineering, and why does it matter for reliable AI workflows?",03-orchestration/lessons/01-intro.md
How does Retrieval Augmented Generation help keep AI answers tied to real data?,03-orchestration/lessons/01-intro.md
What can autonomous AI agents do in a workflow that a normal chatbot usually can’t?,03-orchestration/lessons/01-intro.md
"Can Kestra’s AI plugins work with providers other than Gemini, and if so which ones?",03-orchestration/lessons/01-intro.md
Why does ChatGPT sometimes give wrong or outdated code when I ask it to build a workflow from scratch?,03-orchestration/lessons/02-context-engineering.md
What kinds of mistakes can show up in an AI-generated Kestra flow if it doesn't know the latest version details?,03-orchestration/lessons/02-context-engineering.md
Why is a private browser window suggested for the example with ChatGPT and Kestra?,03-orchestration/lessons/02-context-engineering.md
What does this lesson mean by saying that AI only works with the information it can actually access?,03-orchestration/lessons/02-context-engineering.md
How does giving more context help AI produce code that is more reliable for production use?,03-orchestration/lessons/02-context-engineering.md
What do I need installed before I can run Kestra locally for this module?,03-orchestration/lessons/03-setup.md
How do I start and stop the Kestra container with the provided setup?,03-orchestration/lessons/03-setup.md
"Which API keys are needed for the examples, and which flows depend on each one?",03-orchestration/lessons/03-setup.md
How should I add the API keys so Kestra can read them as secrets?,03-orchestration/lessons/03-setup.md
What’s the quickest way to bring in the sample workflows and run the first agent flow?,03-orchestration/lessons/03-setup.md
How does the AI Copilot help you build a Kestra flow faster than doing it all by hand?,03-orchestration/lessons/04-ai-copilot.md
What do I need to set up before I can use the Copilot in Kestra’s free edition?,03-orchestration/lessons/04-ai-copilot.md
How is Copilot’s output more trustworthy than a normal chat assistant when making Kestra flows?,03-orchestration/lessons/04-ai-copilot.md
"Can I keep editing a flow with Copilot after it creates the first version, and how does that work?",03-orchestration/lessons/04-ai-copilot.md
"What kinds of flow tasks or changes can Copilot help with, like triggers, branching, or failure handling?",03-orchestration/lessons/04-ai-copilot.md
"What is retrieval augmented generation, and how does it help stop the model from making things up?",03-orchestration/lessons/05-rag.md
How does the RAG process work in Kestra from loading documents to answering a user question?,03-orchestration/lessons/05-rag.md
Why does the lesson say the ingest and query parts are usually run separately in real projects?,03-orchestration/lessons/05-rag.md
What’s the difference between using stored documents for RAG and using web search as the retriever?,03-orchestration/lessons/05-rag.md
When should I use a vector database instead of Kestra’s KV Store for storing embeddings?,03-orchestration/lessons/05-rag.md
How does the built-in agent loop in Kestra compare to the manual loop you made earlier with tool calls and repeated LLM calls?,03-orchestration/lessons/06-agents.md
When should I choose an AI agent instead of a normal workflow in Kestra?,03-orchestration/lessons/06-agents.md
"What parts do I need to set up for a Kestra AI agent, like its role, prompt, model provider, tools, and memory?",03-orchestration/lessons/06-agents.md
"Can I use models from providers other than Gemini with Kestra agents, and which ones are supported?",03-orchestration/lessons/06-agents.md
"What kinds of tools can a Kestra agent use, and how does Kestra let me see token use, tool calls, and logs during execution?",03-orchestration/lessons/06-agents.md
Why would I use multiple agents instead of one agent for a harder task?,03-orchestration/lessons/07-multi-agent.md
"In the company research example, what does the research agent do versus the main analyst agent?",03-orchestration/lessons/07-multi-agent.md
How does the main agent actually use the research agent in this setup?,03-orchestration/lessons/07-multi-agent.md
What are the main advantages of splitting a workflow across separate agents?,03-orchestration/lessons/07-multi-agent.md
What should I watch out for when building a system with more than one agent?,03-orchestration/lessons/07-multi-agent.md
When should I use AI Copilot instead of other AI tools for building flows?,03-orchestration/lessons/08-best-practices.md
"What kind of tasks are better suited for RAG, agents, or multi-agent systems?",03-orchestration/lessons/08-best-practices.md
"How do AI model costs work here, and which Gemini model should I start with?",03-orchestration/lessons/08-best-practices.md
What’s the recommended way to handle API keys safely in Kestra?,03-orchestration/lessons/08-best-practices.md
What should I enable or check when debugging an AI workflow before production?,03-orchestration/lessons/08-best-practices.md
"Why does the lesson say context engineering is important for AI assistants, and what goes wrong without it?",03-orchestration/lessons/09-next-steps.md
How can Kestra’s AI Copilot help me create or improve a flow from a simple description?,03-orchestration/lessons/09-next-steps.md
"What is RAG in this module, and when would I use it instead of a normal AI response?",03-orchestration/lessons/09-next-steps.md
"When should I turn part of a workflow into an autonomous agent, and what makes it different from a fixed-step flow?",03-orchestration/lessons/09-next-steps.md
"What should I try next after this module if I want to keep learning, like other AI providers, blueprints, or the Slack community?",03-orchestration/lessons/09-next-steps.md
"Why is evaluation so important when comparing search or RAG approaches, instead of just checking a few examples by hand?",04-evaluation/lessons/01-intro.md
How do you set up a test dataset for search evaluation when you already know the correct document?,04-evaluation/lessons/01-intro.md
What does the A → Q* → A' workflow mean for evaluating a RAG system?,04-evaluation/lessons/01-intro.md
What is the difference between offline evaluation and online evaluation in this course?,04-evaluation/lessons/01-intro.md
"Which metrics or methods are used for search, RAG, and agent evaluation?",04-evaluation/lessons/01-intro.md
Why do we need ground truth data when we test search systems?,04-evaluation/lessons/02-ground-truth.md
What are the different ways to build a set of labeled queries and answers?,04-evaluation/lessons/02-ground-truth.md
Why does the lesson use only the LLM Zoomcamp FAQ documents instead of the whole FAQ set?,04-evaluation/lessons/02-ground-truth.md
"What is structured output in this lesson, and how is it different from just asking the model for text?",04-evaluation/lessons/02-ground-truth.md
How do the generated questions get turned into records that can be used for evaluating search later?,04-evaluation/lessons/02-ground-truth.md
How do you generate ground-truth questions for every FAQ document instead of just one?,04-evaluation/lessons/03-ground-truth-batch.md
Why does the lesson use a retry wrapper when calling the LLM for each document?,04-evaluation/lessons/03-ground-truth-batch.md
What does the function that makes ground-truth data return for each document?,04-evaluation/lessons/03-ground-truth-batch.md
How can you speed up processing all documents without sending the requests one by one?,04-evaluation/lessons/03-ground-truth-batch.md
How do you save the generated question-document pairs and estimate the total LLM cost?,04-evaluation/lessons/03-ground-truth-batch.md
How do you check whether your search is returning the right document for each ground-truth question?,04-evaluation/lessons/04-search-evaluation.md
Why does the lesson wrap the search call in a separate function instead of calling the index directly?,04-evaluation/lessons/04-search-evaluation.md
"What does the relevance list contain in this evaluation, and what does a 1 or 0 mean?",04-evaluation/lessons/04-search-evaluation.md
"How do you make the relevance calculation work for different retrieval methods like text, vector, or hybrid search?",04-evaluation/lessons/04-search-evaluation.md
What is the purpose of running the relevance check on all ground-truth questions before calculating metrics?,04-evaluation/lessons/04-search-evaluation.md
What’s the difference between hit rate and MRR in search evaluation?,04-evaluation/lessons/05-search-metrics.md
How do you calculate hit rate from a list of relevance results?,04-evaluation/lessons/05-search-metrics.md
Why is MRR lower than hit rate in most cases?,04-evaluation/lessons/05-search-metrics.md
What does a score of 0.5 mean in MRR when the right result is second?,04-evaluation/lessons/05-search-metrics.md
How should I interpret a very high hit rate or MRR on synthetic question data?,04-evaluation/lessons/05-search-metrics.md
How do you use offline evaluation to pick better search boosts instead of just guessing?,04-evaluation/lessons/06-search-tuning.md
"What happened when the question field boost was increased, and which value worked best in the test data?",04-evaluation/lessons/06-search-tuning.md
"How can you tune the question, answer, and section weights together with a grid search?",04-evaluation/lessons/06-search-tuning.md
"What boost mix gave the best retrieval scores, and what relative weights did it imply?",04-evaluation/lessons/06-search-tuning.md
"Why does the lesson recommend looking at both hit rate and MRR when deciding search settings, and what is the top-K tradeoff?",04-evaluation/lessons/06-search-tuning.md
Why isn’t checking whether search finds the right document enough for RAG systems?,04-evaluation/lessons/11-evaluation-intro.md
What parts of a full RAG pipeline are supposed to be evaluated together?,04-evaluation/lessons/11-evaluation-intro.md
How do you judge whether a generated RAG answer matches the original answer if the wording is different?,04-evaluation/lessons/11-evaluation-intro.md
"What does the lesson mean by using another model as the evaluator, and what does it look at?",04-evaluation/lessons/11-evaluation-intro.md
"For agents, what should be saved and reviewed besides the final reply to see if the run made sense?",04-evaluation/lessons/11-evaluation-intro.md
How do you evaluate the whole RAG flow instead of just checking whether retrieval found the right document?,04-evaluation/lessons/12-rag-answers.md
"What does the A, Q, and A-prime setup mean in this lesson, and why is it useful?",04-evaluation/lessons/12-rag-answers.md
How do you load the ground-truth questions and match them back to the original FAQ answers?,04-evaluation/lessons/12-rag-answers.md
"What is RAGWithUsage doing differently here, and how do you use it to get answers and track cost?",04-evaluation/lessons/12-rag-answers.md
How do you run RAG over all the test questions in parallel and save the generated results to a CSV file?,04-evaluation/lessons/12-rag-answers.md
How does an LLM judge check whether a RAG answer is actually good enough?,04-evaluation/lessons/13-llm-as-judge.md
What are the three pieces of information used in the offline A->Q->A' evaluation setup?,04-evaluation/lessons/13-llm-as-judge.md
Why doesn’t the judged answer need to match the FAQ answer word for word?,04-evaluation/lessons/13-llm-as-judge.md
"What does the evaluation output return besides a good/bad label, and why is that useful?",04-evaluation/lessons/13-llm-as-judge.md
Why do you still need to inspect bad examples manually even after the judge flags them?,04-evaluation/lessons/13-llm-as-judge.md
How do you evaluate an agent’s answer compared with the original FAQ answer in this setup?,04-evaluation/lessons/14-agent-evaluation.md
"What exactly counts as the agent’s trajectory, and what do you save from it?",04-evaluation/lessons/14-agent-evaluation.md
"Which tool does the agent use to search the FAQ, and how is the search configured?",04-evaluation/lessons/14-agent-evaluation.md
What fields are stored for each agent run before judging it?,04-evaluation/lessons/14-agent-evaluation.md
What makes a tool-call trajectory look good for this search agent?,04-evaluation/lessons/14-agent-evaluation.md
"What kinds of evaluation should I do for search, RAG, and agents in this course?",04-evaluation/lessons/15-next-steps.md
"Why do I need to rerun evaluation after changing prompts, models, or search settings?",04-evaluation/lessons/15-next-steps.md
What’s the recommended path from synthetic test data to real user data for evaluation?,04-evaluation/lessons/15-next-steps.md
Which tools or frameworks does the lesson suggest for evaluating RAG apps in production?,04-evaluation/lessons/15-next-steps.md
"After deployment, what are the main ways to monitor an AI system and catch it getting worse?",04-evaluation/lessons/15-next-steps.md
"What does monitoring mean in a RAG system, and why isn't offline evaluation enough after deployment?",05-monitoring/lessons/01-intro.md
What kinds of things should we record for each user question once the app is live?,05-monitoring/lessons/01-intro.md
What are the main components needed to monitor the system in practice?,05-monitoring/lessons/01-intro.md
How is the existing RAG pipeline reused when adding monitoring instead of rebuilding it?,05-monitoring/lessons/01-intro.md
"Can the same monitoring approach be used for an agent, or is it only for RAG?",05-monitoring/lessons/01-intro.md
What are the three steps in the course-question RAG flow used here?,05-monitoring/lessons/02-assistant-setup.md
"What do the two helper files do, and why do you need them before creating the assistant?",05-monitoring/lessons/02-assistant-setup.md
Why does the assistant code load environment variables with python-dotenv instead of hardcoding the API key?,05-monitoring/lessons/02-assistant-setup.md
"How is the assistant built in `assistant.py`, and why doesn’t it add its own system prompt?",05-monitoring/lessons/02-assistant-setup.md
"What’s the easiest way to run the assistant from the terminal, and why add a Makefile target for it?",05-monitoring/lessons/02-assistant-setup.md
How do I turn the assistant into a simple web app instead of using only the command line?,05-monitoring/lessons/03-chat-app.md
What Streamlit code do I need to make a basic page where I can type a question and get an answer?,05-monitoring/lessons/03-chat-app.md
What command should I use to start the chat app with Streamlit?,05-monitoring/lessons/03-chat-app.md
"Why does the lesson suggest putting the Streamlit run command in the Makefile, and what does that command look like?",05-monitoring/lessons/03-chat-app.md
"What does the lesson say we still aren’t tracking yet, and why is monitoring needed next?",05-monitoring/lessons/03-chat-app.md
How does the lesson measure how long one LLM request takes in the RAG app?,05-monitoring/lessons/04-metrics.md
What fields are stored in the call record for each model response?,05-monitoring/lessons/04-metrics.md
How is the per-call cost computed from the token counts?,05-monitoring/lessons/04-metrics.md
Why does the lesson subclass the RAG base class instead of rewriting the whole pipeline?,05-monitoring/lessons/04-metrics.md
"How can the Streamlit app show response time, token usage, and cost after the answer is generated?",05-monitoring/lessons/04-metrics.md
Why do we store the chat history in PostgreSQL instead of keeping it only in the app?,05-monitoring/lessons/05-database.md
How do you start the Postgres container with Docker so Grafana can reach it?,05-monitoring/lessons/05-database.md
"What columns does the conversations table keep, and why are course and timestamp included?",05-monitoring/lessons/05-database.md
"Why does the save query use RETURNING id, and how is that ID used later?",05-monitoring/lessons/05-database.md
How is saving conversations wired into both the CLI assistant and the Streamlit app?,05-monitoring/lessons/05-database.md
How do you read the saved chat records back from PostgreSQL in this lesson?,05-monitoring/lessons/06-querying.md
Why does the code turn each SQL row into an `LLMCallRecord` instead of using the tuple directly?,05-monitoring/lessons/06-querying.md
"What columns does the query select from the `conversations` table, and how are they mapped into the record object?",05-monitoring/lessons/06-querying.md
"Why does the lesson sort the results by time, and what faster option is mentioned if the table gets bigger?",05-monitoring/lessons/06-querying.md
"What does the test script do in `db_query.py`, and what does the output show when you run it?",05-monitoring/lessons/06-querying.md
What stats does the dashboard compute from the conversations table before showing them in Streamlit?,05-monitoring/lessons/07-streamlit-dashboard.md
How does the lesson set up the main dashboard file and which data functions does it import?,05-monitoring/lessons/07-streamlit-dashboard.md
"What summary numbers are shown at the top of the dashboard, and how are they displayed?",05-monitoring/lessons/07-streamlit-dashboard.md
How does the page make the cost and response-time charts from recent conversations?,05-monitoring/lessons/07-streamlit-dashboard.md
How do you launch the Streamlit dashboard if the default port is already taken?,05-monitoring/lessons/07-streamlit-dashboard.md
Why do we add thumbs-up and thumbs-down on the app instead of only tracking response time and token usage?,05-monitoring/lessons/08-user-feedback.md
How is the feedback table designed so it can store both human ratings and later LLM judge results?,05-monitoring/lessons/08-user-feedback.md
"What values are stored for a user rating, and what do the source and score fields mean?",05-monitoring/lessons/08-user-feedback.md
How do you save a feedback entry in the database after someone clicks a rating button?,05-monitoring/lessons/08-user-feedback.md
Why does the app keep the conversation ID in session state before saving a thumb rating?,05-monitoring/lessons/08-user-feedback.md
How does the online judge setup differ from the offline one that used reference answers?,05-monitoring/lessons/09-built-in-judge.md
"What should the judge look at when deciding if a response is good, and what labels can it return?",05-monitoring/lessons/09-built-in-judge.md
Why does the lesson include an explanation field in the judge’s output if the app only needs a relevance label?,05-monitoring/lessons/09-built-in-judge.md
How do you connect the judge to the Streamlit app so each answer gets scored and saved to the database?,05-monitoring/lessons/09-built-in-judge.md
"What are the main cautions when using this kind of judge in a real system, like latency, cost, and sampling?",05-monitoring/lessons/09-built-in-judge.md
"How do you add judge relevance results to the Streamlit dashboard, and what query do you use for them?",05-monitoring/lessons/10-feedback-dashboard.md
How can the dashboard count user thumbs up and thumbs down from the feedback table?,05-monitoring/lessons/10-feedback-dashboard.md
What new helper functions need to be added in db_query.py for feedback stats?,05-monitoring/lessons/10-feedback-dashboard.md
Which parts of dashboard.py change to display the feedback panels next to the existing metrics?,05-monitoring/lessons/10-feedback-dashboard.md
Why does the lesson say the dashboard still looks empty even after adding the feedback charts?,05-monitoring/lessons/10-feedback-dashboard.md
Why would you generate fake conversations instead of waiting for real users to ask enough questions for the dashboard?,05-monitoring/lessons/11-synthetic-data.md
"What kind of sample questions, answers, and relevance labels does the data generator use?",05-monitoring/lessons/11-synthetic-data.md
"How does the script create a fake LLM call record, and what fields does it fill in randomly?",05-monitoring/lessons/11-synthetic-data.md
"How often does the script add a new conversation, and what kind of feedback can it attach to each one?",05-monitoring/lessons/11-synthetic-data.md
"How do you start the generator, and what happens when you stop it with Ctrl+C?",05-monitoring/lessons/11-synthetic-data.md
